OBJECTID,Site name,Number of spills,Spill duration (hours per year),Percent of reporting operational,Company name,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,DISTRICT_COUNCIL,CATC_NAME,PERMIT_NUMBER,RECEIVING_WATER,REC_ENV_CODE_DESCRIPTION,Outlet type,Grid reference,Effluent type,Year of Data,Disputed,Disputed data detail,x,y
3834,ASHBOURNE - KING EDWARD ST (CSO),9,8,99.94%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),KING EDWARD STREET,DERBYSHIRE DALES,DOVE TO CONF WITH CHURNET,NPSWQD003289,HENMORE BROOK,Freshwater river,Sewage - water company,SK1742046090,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,417923,346500
3835,STOURPORT ON SEVERN - VALE RD (CSO),1,0,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),WORCESTER ROAD,WYRE FOREST,RIVER STOUR (WORCS),S/06/12236/O,RIVER STOUR,Freshwater river,Sewage - water company,SO8151771441,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,381274,271622
3836,ASHFORD - CHURCH STREET (CSO),0,0,99.93%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEW ROAD,DERBYSHIRE DALES,RIVER WYE,T/39/21265/O,RIVER WYE,Freshwater river,Sewage - water company,SK1974069650,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,419727,369724
3837,IPSTONES - BROOKFIELDS ROAD (CSO),10,6,99.92%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),BROOKFIELDS ROAD,STAFF'S MOORLANDS,RIVER CHURNET,T/30/01383/O,TRIB OF RIVER CHURNET,Freshwater river,Sewage - water company,SK0230049700,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,402262,349686
3838,KIRKBY IN ASHFIELD - REGENTSTREET (CSO),2,0,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),REGENT STREET,ASHFIELD,RIVER EREWASH,T/61/45563/O,RIVER EREWASH,Freshwater river,Sewage - water company,SK4983055650,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,449876,355796
3839,LEICESTER - RAW DYKES ROAD (CSO),26,88,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OFF RAW DYKES ROAD,CITY OF LEICESTER UA,SOAR LEICESTER,T/52/46106/O,RIVER SOAR,Freshwater river,Sewage - water company,SK5808003060,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,458402,302930
3840,LEINTWARDINE - WATLING STREET 1 (CSO),9,42,99.40%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),WATLING STREET,HEREFORDSHIRE UA,"RIVER TEME, ENGLAND",S/09/21088/O,RIVER TEME,Freshwater river,Sewage - water company,SO4059073760,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,340511,273896
3841,Little Glen Rd Glen Parva PS,26,318,99.83%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),GLEN ROAD,BLABY,SOAR LEICESTER,T/52/03045/O-3,RIVER SENCE (SOAR),Freshwater river,Sewage - water company,SP5690098500,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,456300,299300
3842,LITTLETHORPE - STATION ROAD (CSO),16,188,99.99%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),LITTLETHORPE,BLABY,UPPER SOAR TO CONF SENCE,DT/8040,RIVER SOAR (TRIBUTARY),Freshwater river,Sewage - water company,SP5410097300,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,454100,297301
3843,LITTON - BUXTON ROAD/LITTON DALE (CSO),7,4,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),JCT OF LITTON RD AND BUXTON RD,DERBYSHIRE DALES,RIVER WYE,T/39/46153/O,TIDESWELL BROOK,Freshwater river,Sewage - water company,SK1553074810,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,415538,374823
3844,ATHERSTONE - ROYAL MEADOW DRIVE (SSO),83,224,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),ATHERSTONE,N. WARWICKSHIRE,UPPER ANKER TO CONF SENCE,NPSWQD003812,TRIB OF RIVER ANKER,Freshwater river,Sewage - water company,SP3144098750,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,431371,298560
3845,CROMFORD - VIA GELLIA (CSO),0,0,91.01%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),CROMFORD MILL POND,DERBYSHIRE DALES,DERWENT TO CONF AMBER,DT/2188,RECEIVING WATER NOT DEFINED,Freshwater river,Sewage - water company,SK2900057100,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,429000,357100
3846,MELBOURNE - CASTLE LANE (CSO),74,184,92.29%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),CASTLE LANE,S. DERBYSHIRE,TRENT TO CONF DERWENT,T/36/40279/O,CARR BROOK,Freshwater river,Sewage - water company,SK3912025390,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,439018,325390
3847,BAKEWELL - BASLOW ROAD (CSO),31,116,95.68%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),BASLOW ROAD - KING STREET,DERBYSHIRE DALES,RIVER WYE,T/38/02671/O,RIVER WYE (TRIBUTARY),Freshwater river,Sewage - water company,SK2250067500,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,421900,368900
3848,MORTON - STATION ROAD (SPS),2,4,88.82%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),MORTON ROAD,N.E. DERBYSHIRE,,2419/5,TRIBUTARY OF WESTWOOD BROOK,Freshwater river,Sewage - water company,SK4170060100,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,442111,361652
3849,VALLEY PARKWAY CSO (BOURNVILLE -WOODBROOKE ROAD (CSO)),12,27,85.78%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE DAME ELIZABETH CTC,BIRMINGHAM,RIVER REA,T/09/36498/O,THE GRIFFINS BROOK,Freshwater river,Sewage - water company,SP0401081220,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,403916,281182
3850,Narborough Park PS,26,280,99.99%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),RADNOR COURT,BLABY,UPPER SOAR TO CONF SENCE,T/50/07064/O,RIVER SOAR/ASHLANDS BROOK,Freshwater river,Sewage - water company,SP5487098140,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,454870,298140
3851,OGSTON TREATMENT WORKS (CSO),66,1042,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OGSTON,N.E. DERBYSHIRE,RIVER AMBER,T/41/07443/O,RIVER AMBER,Freshwater river,Sewage - water company,SK3800059800,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,438091,359850
3852,BAMFORD - ROSE GARDEN (CSO),131,600,98.64%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),THE RAILWAY LINE,HIGH PEAK,DERWENT TO CONF WITH WYE,T/38/21466/O,RIVER DERWENT,Freshwater river,Sewage - water company,SK2058082600,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,420571,382613
3853,BAMFORD - THE HOLLOW (CSO),34,85,99.99%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),CARBOLITE,HIGH PEAK,DERWENT TO CONF WITH WYE,T/38/21621/O,TRIB OF RIVER DERWENT,Freshwater river,Sewage - water company,SK2058083220,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,420593,383222
3854,RIPLEY - BUTTERLEY LANE (CSO),50,118,99.58%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),TOLL ROAD,AMBER VALLEY,RIVER AMBER,T/41/45659/O,HARTSHAY BROOK,Freshwater river,Sewage - water company,SK3951051740,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,439881,351590
3855,RIPLEY - DERBY ROAD 209 (CSO),17,11,91.42%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),DERBY ROAD,AMBER VALLEY,BOTTLE BROOK,T/45/46241/O,UNNAMED TRIB BOTTLE BROOK,Freshwater river,Sewage - water company,SK4017049030,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,440124,349057
3856,ROTHLEY (SPS),179,1797,85.13%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),FARNHAM BRIDGE,CHARNWOOD,SOAR TO CONF KINGSTON BK,T/57/45485/O,RIVER SOAR,Freshwater river,Sewage - water company,SK5945013510,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,459450,313510
3857,ASTON -STATION RD/YEWTREE RD (CSO),8,8,51.47%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),STATION RD/YEW TREE ROAD JCT,BIRMINGHAM,UPPER TAME TO CONF REA,T/08/22244/O,RIVER TAME,Freshwater river,Sewage - water company,SP0812090550,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,407972,290346
3858,SKEGBY - COLLIERY VALLEY (CSO),20,10,99.98%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),SUTTON-IN-ASHFIELD,ASHFIELD,MAUN TO CONJURE ALDERS,T/61/03264/O,RIVER MEDEN & IDLE/TOWN BROOK,Freshwater river,Sewage - water company,SK4940060100,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,448600,358300
3859,STANTON (DERBYSHIRE) STW (Discharges to River Trent),129,2082,100.00%,SEVERN TRENT WATER LIMITED,WwTW/Sewage Treatment Works (water company),NEAR SANDOWN HOUSE,S. DERBYSHIRE,TRENT TO CONF WITH DOVE,EPRWB3535AJ,RIVER TRENT & DARKLANDS BROOK,Freshwater river,Sewage - water company,SK2450021000,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,424450,320980
3860,Station Rd Cheddleton SSO,3,4,98.95%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),STATION ROAD,STAFF'S MOORLANDS,RIVER CHURNET,T/30/35159/O,RIVER CHURNET,Freshwater river,Sewage - water company,SJ9748052560,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,397537,352562
3861,STONEBROOM INDUSTRIAL ESTATE (CSO),2,0,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),STONEBROOM INDUSTRIAL ESTATE,N.E. DERBYSHIRE,RIVER AMBER,T/41/45148/O,MORTON BROOK,Freshwater river,Sewage - water company,SK4144059920,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,441435,359894
3862,SUTTON IN ASHFIELD-COMMON ROAD (CSO),9,4,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),SPRINGWELL STREET,ASHFIELD,RIVER AMBER,T/41/07908/O,ALFRETON/NUN  BROOK,Freshwater river,Miscellaneous,SK4680058100,MISCELLANEOUS DISCHARGES - SURFACE WATER,2019,,,446935,358841
3863,SUTTON IN ASHFIELD - CROSS LANE (CSO),9,4,99.99%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),SPRINGWELL STREET,ASHFIELD,RIVER AMBER,T/41/07908/O,ALFRETON/NUN  BROOK,Freshwater river,Miscellaneous,SK4680058100,MISCELLANEOUS DISCHARGES - SURFACE WATER,2019,,,446935,358841
3864,SUTTON IN ASHFIELD - FACKLEY ROAD (CSO),21,72,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),BARKER AVENUE,ASHFIELD,MEDEN TO CONJURE ALDERS,T/71/07259/O,RIVER MEDEN,Freshwater river,Sewage - water company,SK4850061200,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,448500,361200
3865,SUTTON IN ASHFIELD - SPRINGWELL STREET (CSO),2,1,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),SPRINGWELL STREET,ASHFIELD,RIVER AMBER,T/41/07908/O,ALFRETON/NUN  BROOK,Freshwater river,Miscellaneous,SK4680058100,MISCELLANEOUS DISCHARGES - SURFACE WATER,2019,,,446935,358841
3866,Sutton In Ashfield Inlet PS No2,5,6,100.00%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),UNWIN ROAD,ASHFIELD,MAUN TO CONJURE ALDERS,T/70/45397/O,THE KINGSMILL RESERVOIR,Pond/Lake/Reservoir,Sewage - water company,SK5130059350,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,451012,359520
3867,DOSTHILL - HIGH STREET (CSO),18,1,90.91%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),DOSTHILL,TAMWORTH,TAME TO CONF BOURNE BROOK,T/16/35997/O,DOSTHILL BROOK,Freshwater river,Sewage - water company,SK2149000500,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,421490,300500
3868,Longden Coleham Shrewsbury PS,65,558,85.10%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),LONGDEN COLEHAM,SHROPSHIRE UA,"UPPER MID-SEVERN, ENGLAND",NPSWQD005469,R SEVERN,Freshwater river,Sewage - water company,SJ4960712203,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,349612,312203
3869,WELFORD-ON-AVON - BARTON ROAD (CSO),22,67,92.57%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),ADJACENT TO HAWKWOOD,STRATFORD-ON-AVON,MID-AVON,S/13/08946/O,RIVER AVON,Freshwater river,Sewage - water company,SP1441051520,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,414411,251521
3870,WINKHILL PUMPING STATION (CSO),0,0,99.96%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),WINKHILL,STAFF'S MOORLANDS,RIVER HAMPS,T/27/12305/O,RIVER HAMPS,Freshwater river,Sewage - water company,SK0602051380,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,406020,351380
3871,BREDON - MORETONS LANE (CSO),6,4,90.87%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),MORETONS LANE,WYCHAVON,LOWER AVON,S/17/23232/O,TRIB OF RIVER AVON,Freshwater river,Sewage - water company,SO9271037100,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,392713,237041
3872,KEMERTON-LOWER MILL FARM (CSO),0,0,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),FIELD ADJ. TO LOWER MILL FARM,WYCHAVON,LOWER AVON,S/17/25504/O,TRIBUTARY OF CARRANT BROOK,Freshwater river,Sewage - water company,SO9446336400,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,394457,236405
3873,BADSEY - HIGH STREET (CSO),0,0,99.90%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OUTSIDE ROYAL BRITISH LEGION,WYCHAVON,BADSEY BROOK,S/16/25516/O,BADSEY BROOK,Freshwater river,Sewage - water company,SP0677043470,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,406770,243470
3874,NORTHWOOD - PRIME ST/LOCKLEY ST (CSO),0,0,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),PRIME STREET / LOCKLEY STREET,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/36214/O,TRIBUTARY OF THE CALDON CANAL,Canal,Sewage - water company,SJ8928048300,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,389271,348299
3875,PELSALL-WOLVERHAMPTON RD (CSO),43,14,99.99%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),WOLVERHAMPTON RD /FOUNDRY LN JCT,WALSALL,UPPER TAME TO CONF REA,T/08/35057/O,ROUGH BROOK,Freshwater river,Sewage - water company,SK0113003080,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,401236,303143
3876,BURTON ON TRENT_COTON PARK SEWAGE TREATMENT WORKS,109,128,100.00%,SEVERN TRENT WATER LIMITED,WwTW/Sewage Treatment Works (water company),COTON PARK,S. DERBYSHIRE,TRENT TO CONF WITH DOVE,T/24/35915/R,TRIBUTARY OF THE RIVER TRENT,Freshwater river,Sewage - water company,SK2748017720,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2019,,,427440,317770
3877,CANLEY (CANLEY- OLD MILL LANE (CSO)),14,41,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),CANLEY,COVENTRY,RIVER SOWE,S/11/04668/R,CANLEY BROOK,Freshwater river,Sewage - water company,SP3000076000,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,430000,276000
3878,BEDDELEY GREEN FARM (BADDELEY GREEN - REGENCY DRIVE (CSO)),32,50,99.94%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR THE CROFTERS,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/02126/O,RIVER TRENT (NON TIDAL TRIB),Freshwater river,Sewage - water company,SJ9110051600,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,391127,351684
3879,Belle Vale Storm Tanks,56,642,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),CORNGREAVES ROAD,DUDLEY,RIVER STOUR (WORCS),S/06/56331/O,RIVER STOUR (SEVERN),Freshwater river,Sewage - water company,SO9530084700,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,395199,284774
3880,CALLOW BROOK (RUBERY-WINDMILL AVENUE (CSO)),1,0,99.37%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),REAR OF 43 WINDMILL AVENUE,BROMSGROVE,RIVER REA,T/09/00786/O,RIVER REA (RIVER TEME),Freshwater river,Sewage - water company,SO9845077500,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,398490,277548
3881,HIGH ST/WHATTON RD-STORM & SWS (KEGWORTH - HIGH STREET (CSO)),24,9,99.52%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),3 HIGH STREET,N.W. LEICESTERSHIRE,SOAR TO CONF KINGSTON BK,T/57/08994/O,RIVER SOAR,Freshwater river,Sewage - water company,SK4899026450,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,448679,326737
3882,EASTERN MAIN RELIEF Sewer - Storm (Eastern Main Relief Sewer Sso),51,233,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),HAMMERCLIFFE RD-ULVERSCROFT RD,CITY OF LEICESTER UA,SOAR TO WREAKE/ROTHLEY BK,T/53/00442/O,WILLOW BROOK,Freshwater river,Sewage - water company,SK6000005400,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,460307,305607
3883,BREWOOD - FOUR ASHES ROAD (SPS),51,99,99.79%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),FOUR ASHES ROAD,S. STAFFORDSHIRE,RIVER PENK,T/03/12149/O,CHILLINGTON BROOK,Freshwater river,Sewage - water company,SJ8913009010,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,389130,309010
3884,BRYANS LANE (RUGELEY - BRYANS LANE (CSO)),63,114,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE 14 BRYANS LANE,CANNOCK CHASE,TRENT TO CONF WITH BLITHE,T/05/08345/O,RISING BROOK/BENTLEY BROOK,Freshwater river,Sewage - water company,SK0469018180,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,404672,318179
3885,C.LHICKS LTD (COMPTON -OPP 14 BRIDGNORTH RD (CSO)),4,5,29.51%,C L HICKS LTD,Undefined or Other,RETAIL STORE,WOLVERHAMPTON,RIVER STOUR (WORCS),S42/3,SMESTOW BROOK,Freshwater river,Trade,SO8830098800,TRADE DISCHARGES - SITE DRAINAGE,2019,,,388300,298800
3886,CHADDESDEN PARK RD/MAYFIELD RD SSO (CHADDESDEN - CHADDESDEN PARK ROAD (CSO)),14,19,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),CHADDESDEN PARK RD/MAYFIELD RD,DERBYSHIRE DALES,LOWER DERWENT,T/48/22374/O,CHADDESDEN BROOK,Freshwater river,Sewage - water company,SK3798036330,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,437365,336893
3887,DOVERIDGE PUMPING STATION (DOVERIDGE (SPS)),52,854,99.94%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),HALL LANE,DERBYSHIRE DALES,DOVE TO HILTON BROOK,EPREP3320GQ,RIVER DOVE,Freshwater river,Sewage - water company,SK1135033760,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,411450,333810
3888,WESTGATE STORM OVERFLOW (BRIDGNORTH - WESTGATE/VICTORIA RD (CSO)),27,6,99.82%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),WESTGATE,SHROPSHIRE UA,"UPPER MID-SEVERN, ENGLAND",S/02/20966/O,RIVER SEVERN,Freshwater river,Sewage - water company,SO7180092410,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,371081,293227
3889,THORNHILLRD STORM O/F (SHREWSBURY-THE MOUNT (CSO)),121,836,76.71%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),WHITE LODGE,SHROPSHIRE UA,"UPPER MID-SEVERN, ENGLAND",S/02/21009/O,RIVER SEVERN,Freshwater river,Sewage - water company,SJ4722013320,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,347200,313209
3890,THE FLASH STORM O/F (SHREWSBURY - COTON HILL (CSO)),54,457,99.87%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),REAR OF 29 BERWICK ROAD,SHROPSHIRE UA,"UPPER MID-SEVERN, ENGLAND",S/02/21023/O,RIVER SEVERN,Freshwater river,Sewage - water company,SJ4903013400,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,349035,313405
3891,SMITHFIELD RD STORM O/F (SHREWSBURY -SMITHFIELD ROAD (CSO)),47,348,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),SMITHFIELD ROAD,SHROPSHIRE UA,"UPPER MID-SEVERN, ENGLAND",S/02/21024/O,RIVER SEVERN,Freshwater river,Sewage - water company,SJ4911012810,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,349116,312800
3892,RAD BROOK STORM Sewer OVERFLOW (SHREWSBURY - KINGSLAND ROAD (CSO)),144,2759,99.96%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),BURRS FIELD RECREATION GROUND,SHROPSHIRE UA,"UPPER MID-SEVERN, ENGLAND",S/02/21033/O,RIVER SEVERN,Freshwater river,Sewage - water company,SJ4899012010,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,348992,312006
3893,WINDSOR GROVE -STORM OVERFLOW (WORDSLEY - WINDSOR GROVE (CSO)),19,34,99.39%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),8 WATERWAYS GARDENS,DUDLEY,RIVER STOUR (WORCS),S/06/08130/O,WORDSLEY BROOK,Freshwater river,Sewage - water company,SO8902086370,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,389063,286334
3894,WEDNESFIELDROAD/WOLVERHAMPTON (SPRINGFIELD - WEDNESFIELD ROAD (CSO)),0,0,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),RING ROAD,WOLVERHAMPTON,RIVER STOUR (WORCS),S/06/08749/O,SMESTOW BROOK,Freshwater river,Sewage - water company,SO9252099350,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,392520,299350
3895,FOX'S LN/CROWN ST - STORM O/F (DUNSTALL HILL - FOXS LA/CROWN ST (CSO)),3,0,99.82%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),JCN OF FOXS LANE-CROWN STREET,WOLVERHAMPTON,RIVER STOUR (WORCS),S/06/08871/O,SMESTOW BROOK,Freshwater river,Sewage - water company,SJ9165000320,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,391605,300068
3896,MANOR ROAD - STORM OVERFLOW (Manor Rd Wolverhampton Sso),66,904,100.00%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),MANOR ROAD,WOLVERHAMPTON,RIVER STOUR (WORCS),S/06/12285/O,MERRYHILL BROOK,Freshwater river,Sewage - water company,SO8929096460,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,389290,296460
3897,PENN - STORM O/F VIA SURFACE WATER (BRADMORE - COALWAY RD/MYRTLE GROVE (CSO)),1,0,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),JCN OF COALWAY RD-MYRTLE GROVE,WOLVERHAMPTON,RIVER STOUR (WORCS),S/06/20319/O,MERRYHILL BROOK,Freshwater river,Sewage - water company,SO8918096860,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,389283,296877
3898,FINCHFIELD HILL/WHITE OAK DRIVE SSO (COMPTON - FINCHFIELD HILL (CSO)),1,0,79.50%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE 27 FINCHFIELD HILL,WOLVERHAMPTON,RIVER STOUR (WORCS),S/06/20898/O,SMESTOW BROOK,Freshwater river,Sewage - water company,SO8789098500,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,388456,298314
